id;longitude;latitude;request_node;service_time_min;cluster;type;arrival_time
1;16.4371334;48.1793636;15824;0;3;Depot;0
2;16.3743185;48.1891707;3769;30.68;3;Scheduled;0
3;16.5405941;48.2146101;8843;29.08;3;Scheduled;0
4;16.3621347;48.201073;5094;25.11;3;Scheduled;0
5;16.475418;48.2433104;9729;20.62;1;OnDemand;2.08
6;16.3297239;48.2059569;2401;26.03;2;OnDemand;17.66
7;16.4368328;48.2616086;5636;21.19;1;OnDemand;29.59
8;16.4598374;48.2408557;13976;24.69;1;OnDemand;31.43
9;16.41623;48.2305969;7962;24.88;1;OnDemand;31.68
10;16.3295866;48.1718667;11643;21.18;2;OnDemand;35.9
11;16.419344;48.2611507;6463;22.25;1;OnDemand;73.55
12;16.415203;48.2323589;6319;22.29;1;OnDemand;81
13;16.3272905;48.2109258;2465;33.7;2;OnDemand;85.67
14;16.2824222;48.1791866;2142;30.53;2;OnDemand;89.19
15;16.4115357;48.260611;1632;32.31;1;OnDemand;113.31
16;16.3026504;48.2008989;1138;29.98;2;OnDemand;121.8
17;16.2970909;48.1720115;184;23.24;2;OnDemand;147
18;16.3121364;48.2126054;6956;26.95;2;OnDemand;179.75
19;16.4346377;48.2416571;2188;30.75;1;OnDemand;217.45
20;16.3014872;48.1860808;15045;32.33;2;OnDemand;219.59
21;16.2841837;48.1962271;485;32.31;2;OnDemand;220.52
22;16.475418;48.2433104;9729;23;1;OnDemand;243.25
23;16.3222571;48.2152496;2931;29.02;2;OnDemand;255.41
24;16.2990371;48.1844868;11107;26.45;2;OnDemand;277.69
25;16.4538414;48.2751266;12981;29.56;1;OnDemand;290.15
26;16.3274724;48.1912906;14776;26.3;2;OnDemand;311.88
27;16.4127936;48.2487215;5027;33.2;1;OnDemand;312.01
28;16.4491715;48.2556169;10003;24.81;1;OnDemand;351.69
29;16.3077223;48.1880741;2801;24.73;2;OnDemand;360.63
30;16.4503285;48.2308397;4122;27.4;1;OnDemand;366.75
31;16.328507;48.1996148;2731;25.07;2;OnDemand;384.66
