id;longitude;latitude;request_node;service_time_min;cluster;type;arrival_time
1;16.4371334;48.1793636;15824;0;3;Depot;0
2;16.3083212;48.2233666;8003;25.54;3;Scheduled;0
3;16.369448;48.2235657;4774;30.88;3;Scheduled;0
4;16.29052;48.2125488;10368;27.29;2;Scheduled;0
5;16.3195395;48.1560293;13217;20.96;3;Scheduled;0
6;16.2771417;48.1542445;9724;31.77;3;Scheduled;0
7;16.3282768;48.1687088;14610;26.27;2;OnDemand;4.39
8;16.4168716;48.2310204;14927;34.72;1;OnDemand;5.25
9;16.4326826;48.2384822;7781;24.24;1;OnDemand;11.75
10;16.4368328;48.2616086;5636;32.72;1;OnDemand;18.4
11;16.3409068;48.1933759;6037;21.23;2;OnDemand;23.06
12;16.4599221;48.24085;13977;33.3;1;OnDemand;25.22
13;16.4433789;48.2690595;7309;27.08;1;OnDemand;34.24
14;16.4326067;48.2554153;12272;21.64;1;OnDemand;38.29
15;16.4582273;48.2638569;12800;25;1;OnDemand;43.17
16;16.3359998;48.1945473;14764;32.56;2;OnDemand;45.52
17;16.3481836;48.1869917;3671;24.15;2;OnDemand;52.28
18;16.4612148;48.2377907;7412;28.81;1;OnDemand;52.38
19;16.4410141;48.2339574;12406;32.55;1;OnDemand;57.6
20;16.4136884;48.2370209;13998;21.07;1;OnDemand;60.15
21;16.4704531;48.2542181;7417;30.54;1;OnDemand;60.62
22;16.4471977;48.2400316;15012;30.48;1;OnDemand;65.42
23;16.4421008;48.2485939;7215;26.96;1;OnDemand;66.95
24;16.4260614;48.2680695;15963;26.55;1;OnDemand;71.61
25;16.4481685;48.2599743;8594;28.43;1;OnDemand;78.04
26;16.4051379;48.2569486;1816;33.93;1;OnDemand;79.88
27;16.301868;48.192121;13748;23.46;2;OnDemand;81.67
28;16.4598374;48.2408557;13976;23.33;1;OnDemand;90.51
29;16.457939;48.2280799;11658;26.3;1;OnDemand;96.77
30;16.4523929;48.2487411;14797;25;1;OnDemand;97.99
31;16.4667879;48.2481022;13982;32.97;1;OnDemand;107.23
32;16.3299769;48.203845;2825;22.66;2;OnDemand;109.57
33;16.3434316;48.1915825;10770;27.4;2;OnDemand;111.49
34;16.4512762;48.244705;7464;26.45;1;OnDemand;112.56
35;16.4225607;48.2475658;7838;28.46;1;OnDemand;123.96
