id;longitude;latitude;request_node;service_time_min;cluster;type;arrival_time
1;16.4371334;48.1793636;15824;0;3;Depot;0
2;16.3743185;48.1891707;3769;32.59;3;Scheduled;0
3;16.5405941;48.2146101;8843;29.89;3;Scheduled;0
4;16.3621347;48.201073;5094;26.03;3;Scheduled;0
5;16.3215563;48.1626891;6691;21.47;3;Scheduled;0
6;16.2746377;48.1643979;6841;24.79;3;Scheduled;0
7;16.2513883;48.218416;8167;34.94;3;Scheduled;0
8;16.3158267;48.2140857;2922;30.89;2;Scheduled;0
9;16.4352745;48.2527037;5086;30.3;1;Scheduled;0
10;16.3568228;48.172509;8583;29.44;3;Scheduled;0
11;16.2551471;48.1996727;787;32.05;3;Scheduled;0
12;16.3387871;48.2370753;329;28.15;3;Scheduled;0
13;16.4629495;48.2115349;2230;32.93;3;Scheduled;0
14;16.3742396;48.1863705;3751;34.76;3;Scheduled;0
15;16.2742534;48.1441861;7727;28.84;3;Scheduled;0
16;16.3695598;48.1736437;5223;20.84;3;Scheduled;0
17;16.444603;48.2722174;7303;27.91;1;Scheduled;0
18;16.3755199;48.2452199;13348;29.29;3;Scheduled;0
19;16.2833821;48.1487295;9665;22.44;3;Scheduled;0
20;16.3662523;48.1984692;1948;34.11;3;Scheduled;0
21;16.3969362;48.1862033;14955;21.42;3;Scheduled;0
22;16.2679742;48.205707;1004;32.17;3;Scheduled;0
23;16.464437;48.1554052;8452;34.9;3;Scheduled;0
24;16.4595743;48.2087692;6119;29.66;3;Scheduled;0
25;16.3814052;48.235203;15524;23.79;3;Scheduled;0
26;16.3655392;48.2099586;2696;23.12;3;Scheduled;0
27;16.3991661;48.1994543;6536;32.29;3;Scheduled;0
28;16.287707;48.2033578;917;24.08;2;OnDemand;2.66
29;16.4670111;48.2324733;12529;32.49;1;OnDemand;6.04
30;16.4047026;48.2449357;12635;28.11;1;OnDemand;7.3
31;16.4115357;48.260611;1632;34.19;1;OnDemand;15.92
32;16.4737043;48.2656929;7421;32.33;1;OnDemand;18.95
33;16.4373175;48.2435097;13701;34.5;1;OnDemand;19.56
34;16.4420336;48.2500443;15654;33.86;1;OnDemand;21.02
35;16.4346621;48.240595;4360;31.38;1;OnDemand;48.92
36;16.3526536;48.1890634;14420;27.58;2;OnDemand;52.48
37;16.4348094;48.2583409;4461;33.33;1;OnDemand;54.31
38;16.3244885;48.1944573;2749;22.03;2;OnDemand;56.34
39;16.2990371;48.1844868;11107;21.96;2;OnDemand;64.31
40;16.3111122;48.2127611;10432;33.84;2;OnDemand;83.25
41;16.4175892;48.2305579;14664;31.22;1;OnDemand;84.25
42;16.4375948;48.269108;5640;20.8;1;OnDemand;92.02
43;16.3343198;48.1803828;10664;33.32;2;OnDemand;94.67
44;16.4333608;48.2429621;14483;21.65;1;OnDemand;104.86
45;16.4491715;48.2556169;10003;28.89;1;OnDemand;119.05
46;16.4753439;48.2592448;13989;24.22;1;OnDemand;122.24
47;16.2947023;48.1985911;90;25.07;2;OnDemand;124.43
48;16.4436302;48.2568839;13502;27.47;1;OnDemand;130.83
49;16.4579928;48.2566868;10055;28.91;1;OnDemand;133.16
50;16.4373175;48.2435097;13701;26.37;1;OnDemand;135.25
51;16.4604817;48.2391951;13174;24.36;1;OnDemand;136.16
52;16.4070748;48.2541786;7253;20.72;1;OnDemand;142.93
53;16.3421576;48.1799217;10562;24.62;2;OnDemand;146.41
54;16.3251126;48.2006515;1259;33.15;2;OnDemand;156.01
55;16.4433789;48.2690595;7309;33.17;1;OnDemand;159.15
56;16.4514227;48.2485942;12491;23.66;1;OnDemand;170.99
57;16.2838049;48.1820414;391;34.77;2;OnDemand;174.79
58;16.3131002;48.1746174;14342;33.3;2;OnDemand;184.69
59;16.3355464;48.1943042;14763;20.66;2;OnDemand;185.34
60;16.4405543;48.2562052;7222;25.62;1;OnDemand;189.08
61;16.3306864;48.2127268;13901;20.82;2;OnDemand;190.82
62;16.4169078;48.2310003;14926;31.52;1;OnDemand;195.82
63;16.3559284;48.1914654;3711;22.24;2;OnDemand;196.57
64;16.4188073;48.2617544;10776;34.5;1;OnDemand;197.55
65;16.3198001;48.1848954;29;29.4;2;OnDemand;197.77
66;16.4467721;48.245558;7373;21.59;1;OnDemand;200.28
67;16.4366775;48.2630667;5492;22.81;1;OnDemand;208.24
68;16.4496921;48.271606;5651;32.32;1;OnDemand;212.67
69;16.3217492;48.1818566;5344;29.8;2;OnDemand;225.39
70;16.2983033;48.1855776;11102;21.68;2;OnDemand;231.58
71;16.4045281;48.2466824;676;28.9;1;OnDemand;236.25
72;16.3301305;48.1915626;14756;27.19;2;OnDemand;236.83
73;16.2839396;48.1918235;10648;25;2;OnDemand;247.58
74;16.3526536;48.1890634;14420;24.29;2;OnDemand;249.77
75;16.3256508;48.2127179;16053;24.38;2;OnDemand;251.94
76;16.3075932;48.209343;2854;21.51;2;OnDemand;254.71
77;16.4555628;48.2288462;1804;21.4;1;OnDemand;257.72
78;16.285966;48.178228;11117;24.33;2;OnDemand;261.52
79;16.4330932;48.2509397;10641;31.29;1;OnDemand;268.76
80;16.3497925;48.186199;13192;33.79;2;OnDemand;268.95
81;16.4469208;48.2342893;7396;34.77;1;OnDemand;273.82
82;16.3162411;48.1665219;10587;24.17;2;OnDemand;294.05
83;16.3174286;48.2016019;1203;25.08;2;OnDemand;303.34
84;16.3163717;48.2000956;13551;20.76;2;OnDemand;305.66
85;16.3191147;48.1996359;1264;21.31;2;OnDemand;306.13
86;16.3388145;48.1884792;1734;25.06;2;OnDemand;309.14
87;16.3549169;48.1935957;3906;23.77;2;OnDemand;321.96
88;16.3373996;48.2061526;69;25.44;2;OnDemand;325.62
89;16.3042911;48.1937823;845;31.13;2;OnDemand;333.03
90;16.2995761;48.1945361;842;30.6;2;OnDemand;339.71
91;16.3048556;48.1679221;187;31.7;2;OnDemand;362.26
92;16.3055558;48.1898498;2798;26.02;2;OnDemand;363.67
93;16.3241302;48.1662165;6683;34.94;2;OnDemand;369.03
94;16.3116272;48.2142949;2898;24.97;2;OnDemand;369.27
95;16.3106851;48.2114839;100;21.28;2;OnDemand;385.99
96;16.3540197;48.1839656;2040;32.82;2;OnDemand;386.03
97;16.3020676;48.1936074;295;27.85;2;OnDemand;388.48
98;16.3080857;48.1989784;1106;26.33;2;OnDemand;389.79
99;16.3301305;48.1915626;14756;23.43;2;OnDemand;392.37
